2026-06-23,"Kuwait",38.35 KWD,41.82 KWD,19/06/2026
2026-06-24,"Kuwait",38.35 KWD,41.82 KWD,19/06/2026
2026-06-25,"Kuwait",36.94 KWD,40.28 KWD,24/06/2026
2026-06-26,"Kuwait",37.39 KWD,40.78 KWD,26/06/2026
2026-06-27,"Kuwait",37.93 KWD,41.36 KWD,27/06/2026
2026-06-28,"Kuwait",37.93 KWD,41.36 KWD,28/06/2026
2026-06-29,"Kuwait",37.72 KWD,41.14 KWD,29/06/2026
2026-07-01,"Kuwait",37.00 KWD,40.35 KWD,01/07/2026
2026-07-02,"Kuwait",37.96 KWD,41.40 KWD,02/07/2026
2026-07-03,"Kuwait",38.65 KWD,42.14 KWD,03/07/2026
2026-07-04,"Kuwait",38.58 KWD,42.07 KWD,04/07/2026
2026-07-05,"Kuwait",38.58 KWD,42.07 KWD,05/07/2026
2026-07-06,"Kuwait",38.44 KWD,41.92 KWD,06/07/2026
2026-07-07,"Kuwait",38.12 KWD,41.56 KWD,07/07/2026
2026-07-08,"Kuwait",38.10 KWD,41.55 KWD,08/07/2026
2026-07-09,"Kuwait",37.92 KWD,41.35 KWD,09/07/2026
2026-07-10,"Kuwait",38.00 KWD,41.43 KWD,10/07/2026
